	Number_of_Jobs	h	Instance	Objective_Function_Value	Initial_Time	1st_job	2nd_job	3th_job	4th_job	5th_job	6th_job	7th_job	8th_job	9th_job	10_job  11_job  12_job  13_job  14_job  15_job  16_job	17_job  18_job  19_job  20_job  21_job  22_job  23_job  24_job	25_job  26_job  27_job  28_job  29_job  30_job  31_job  32_job	33_job  34_job  35_job	
	Jobs_05		0.2	Instance_1	197				0		2	3	5	4	1																																
	Jobs_05		0.2	Instance_2	788				0		4	1	2	5	3																																
	Jobs_05		0.2	Instance_3	207				0		2	3	4	1	5																																
	Jobs_05		0.2	Instance_4	471				0		1	2	5	3	4																																
	Jobs_05		0.2	Instance_5	434				0		5	4	2	3	1																																
	Jobs_05		0.2	Instance_6	809				0		5	1	2	3	4																																
	Jobs_05		0.2	Instance_7	835				0		2	4	5	3	1																																
	Jobs_05		0.2	Instance_8	367				0		1	2	3	5	4																																
	Jobs_05		0.2	Instance_9	730				0		4	2	5	3	1																																
	Jobs_05		0.2	Instance_10	167				0		3	5	2	1	4																																
	Jobs_05		0.4	Instance_1	156				1		5	1	2	4	3																																
	Jobs_05		0.4	Instance_2	470				0		4	2	3	5	1																																
	Jobs_05		0.4	Instance_3	100				0		3	1	4	2	5																																
	Jobs_05		0.4	Instance_4	354				0		1	3	5	4	2																																
	Jobs_05		0.4	Instance_5	188				0		5	4	3	2	1																																
	Jobs_05		0.4	Instance_6	430				0		5	2	3	1	4																																
	Jobs_05		0.4	Instance_7	436				0		3	4	5	2	1																																
	Jobs_05		0.4	Instance_8	217				1		2	1	3	5	4																																
	Jobs_05		0.4	Instance_9	428				0		1	2	5	3	4																																
	Jobs_05		0.4	Instance_10	139				0		4	5	3	2	1																																
	Jobs_05		0.6	Instance_1	146				2		3	4	1	2	5																																
	Jobs_05		0.6	Instance_2	336				0		3	2	4	5	1																																
	Jobs_05		0.6	Instance_3	62				0		3	1	2	4	5																																
	Jobs_05		0.6	Instance_4	219				0		2	3	1	4	5																																
	Jobs_05		0.6	Instance_5	143				6		5	4	3	2	1																																
	Jobs_05		0.6	Instance_6	265				0		5	2	3	1	4																																
	Jobs_05		0.6	Instance_7	355				0		4	2	5	3	1																																
	Jobs_05		0.6	Instance_8	217				13		2	1	3	5	4																																
	Jobs_05		0.6	Instance_9	257				0		1	3	5	4	2																																
	Jobs_05		0.6	Instance_10	105				5		5	4	3	1	2																																
	Jobs_05		0.8	Instance_1	146				14		3	4	1	2	5																																
	Jobs_05		0.8	Instance_2	304				10		5	2	1	3	4																																
	Jobs_05		0.8	Instance_3	58				5		2	3	1	4	5																																
	Jobs_05		0.8	Instance_4	169				5		3	1	4	2	5																																
	Jobs_05		0.8	Instance_5	143				17		5	4	3	2	1																																
	Jobs_05		0.8	Instance_6	247				7		4	2	3	5	1																																
	Jobs_05		0.8	Instance_7	313				11		5	2	4	1	3																																
	Jobs_05		0.8	Instance_8	217				25		2	1	3	5	4																																
	Jobs_05		0.8	Instance_9	227				7		2	1	5	4	3																																
	Jobs_05		0.8	Instance_10	105				13		5	4	3	1	2																																
	Jobs_10		0.2	Instance_1	1936				0		9	2	4	1	7	5	3	8	6	10																											
	Jobs_10		0.2	Instance_2	1042				0		2	5	9	1	4	7	3	8	6	10																											
	Jobs_10		0.2	Instance_3	1586				0		2	4	7	9	8	5	6	10	1	3																											
