Problem			LBNEH				FDPNEH				GRASP basic version		GRASP path relinking			
			1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4
Size1_Problem1		1485	1034	3790	1331	1202	1188	4293	1002	707	897	3704	784	705	897	3646	784
Size1_Problem2		1277	0	2248	5857	989	0	2178	6189	659	0	1247	5294	659	0	1247	5294
Size1_Problem3		1399	1159	3585	4928	1317	761	3801	3789	698	649	3262	3703	626	641	3262	3689
Size1_Problem4		2349	11	4129	1733	1733	40	3943	1559	1171	0	3480	1144	1116	0	3338	1144
Size1_Problem5		1945	155	3227	4353	1172	15	2387	4219	543	15	2314	4183	460	15	2326	4045
Size1_Problem6		1918	509	3947	2555	1575	509	4432	2280	1028	406	3407	1867	990	406	3405	1867
Size1_Problem7		1744	663	3166	2124	1375	713	3166	2218	815	518	2192	1899	815	518	2165	1899
Size1_Problem8		1624	731	4281	5332	1098	356	4194	5307	636	233	3449	4810	638	240	3449	4810
Size1_Problem9		1568	793	2803	4684	1754	683	2929	4116	700	578	2609	4086	700	607	2609	4086
Size1_Problem10		1673	1563	4083	4087	1536	2241	3922	3999	966	1379	3339	3554	909	1379	3349	3656
Size2_Problem1		2162	3630	7460	6748	2039	3719	7430	6362	1580	3136	6823	5879	1581	3136	6823	6020
Size2_Problem2		3972	1439	7603	4674	4039	1159	7646	4674	3444	918	6888	4343	3399	918	6909	4343
Size2_Problem3		3192	5899	6690	4274	2984	5665	6654	3878	2619	5503	5844	3767	2549	5526	5844	3767
Size2_Problem4		2087	3863	7363	5620	2169	3708	7029	6020	1965	3419	6238	5620	1978	3376	6185	5645
Size2_Problem5		2585	5090	6568	7584	2632	4580	6041	7785	1996	4427	5821	7158	1988	4278	5821	7158
Size2_Problem6		3217	3421	6115	5993	3212	3208	6103	5729	2484	3072	5424	5123	2484	3072	5281	5123
Size2_Problem7		2507	696	4160	6524	1797	786	4160	6532	1463	269	4000	5906	1463	269	4000	5896
Size2_Problem8		2966	4872	8136	6994	2949	4632	8136	6888	2694	4058	6663	6587	2694	4056	6663	6657
Size2_Problem9		3610	921	8450	8205	3795	997	8745	7774	2947	429	7892	7456	2897	419	7981	7424
Size2_Problem10		4941	5780	7946	7107	4750	5475	8413	7064	4156	5354	7607	6369	4033	5354	7607	6369
Size3_Problem1		6541	12281	12225	10638	6607	12330	12442	10243	6089	11795	11507	10046	6070	11726	11408	10044
Size3_Problem2		7278	6992	16064	20486	7170	7105	16374	21043	6972	6221	15373	20321	6972	6192	15496	20307
Size3_Problem3		8491	9214	15701	13661	8084	9372	15509	13661	7748	8889	14666	13363	7733	8889	14666	13363
Size3_Problem4		6667	11322	13164	15595	6568	11504	13535	15371	6045	10641	12674	15321	6229	10641	12674	15243
Size3_Problem5		8607	9395	13794	15701	7953	9192	13958	15872	7658	8735	13313	14394	7918	8735	13313	14394
Size3_Problem6		7008	7233	14645	16593	7290	7284	14825	16709	6807	6439	13990	15819	6788	6448	14018	15900
Size3_Problem7		7555	6257	12505	13747	7489	6709	12705	14002	6572	5983	11820	12682	6572	5983	11820	12682
Size3_Problem8		5015	6214	11816	10108	6455	6530	12019	10139	4503	5791	11476	9450	4502	5791	11589	9450
